Campaign_ID,Campaign_Name,Platform,Campaign_Type,Objective,Audience_Segment,Region,Device_Type,Ad_Format,Launch_Date,Spend_USD,Impressions,Clicks,CTR_Percent,CPC_USD,Conversions,Conversion_Rate_Percent,CPA_USD,Revenue_USD,ROAS,Engagement_Rate_Percent,Video_Completion_Rate_Percent
MKTCAMP_1060,Retargeting_Europe_60,TikTok,Retargeting,Traffic,Pet Owners,Europe,Mobile,Carousel,2025-02-21,8314.9,1597105,9399,0.59,0.88,1386,14.75,6.0,166588.23,20.03,3.24,
MKTCAMP_1061,Retargeting_India_61,LinkedIn,Retargeting,Leads,Small Business Owners,India,Desktop,Story,2025-03-28,17570.06,2691903,202095,7.51,0.09,27007,13.36,0.65,7754085.04,441.32,6.08,
MKTCAMP_1062,Retargeting_North America_62,YouTube,Retargeting,Conversions,Young Professionals 25-34,North America,Desktop,Search Ad,2025-02-03,4847.27,848808,58867,6.94,0.08,10498,17.83,0.46,1701071.32,350.93,7.64,
MKTCAMP_1063,Brand Awareness_Middle East_63,Google Ads,Brand Awareness,Awareness,Healthcare Professionals,Middle East,Desktop,Story,2025-03-19,19522.12,1978462,157072,7.94,0.12,24381,15.52,0.8,4078407.08,208.91,14.19,
MKTCAMP_1064,Brand Awareness_APAC_64,YouTube,Brand Awareness,Awareness,Luxury Buyers,APAC,Mobile,Video,2025-04-01,18986.3,1111881,85733,7.71,0.22,8009,9.34,2.37,2358381.31,124.21,6.74,86.64
MKTCAMP_1065,Brand Awareness_APAC_65,TikTok,Brand Awareness,Conversions,Tech Decision Makers,APAC,Tablet,Image,2025-02-25,10035.44,420994,32557,7.73,0.31,682,2.1,14.71,90147.01,8.98,17.64,
MKTCAMP_1066,Sales Conversion_APAC_66,Google Ads,Sales Conversion,Traffic,Parents with Kids,APAC,Desktop,Image,2025-03-06,23789.88,3407158,188002,5.52,0.13,15694,8.35,1.52,1943347.95,81.69,6.89,
MKTCAMP_1067,Sales Conversion_India_67,LinkedIn,Sales Conversion,Awareness,Luxury Buyers,India,Desktop,Search Ad,2025-01-17,16976.7,2978178,202867,6.81,0.08,29047,14.32,0.58,1719174.38,101.27,9.75,
MKTCAMP_1068,Product Launch_Latin America_68,Meta,Product Launch,Conversions,Luxury Buyers,Latin America,Tablet,Search Ad,2025-03-14,1910.19,265354,10551,3.98,0.18,1691,16.03,1.13,240617.13,125.97,3.23,
MKTCAMP_1069,Product Launch_North America_69,LinkedIn,Product Launch,Awareness,Tech Decision Makers,North America,Desktop,Carousel,2025-02-25,4003.3,708871,38332,5.41,0.1,870,2.27,4.6,49515.33,12.37,13.33,
MKTCAMP_1070,App Install_Middle East_70,YouTube,App Install,Engagement,Parents with Kids,Middle East,Desktop,Carousel,2025-03-07,2282.69,428996,26256,6.12,0.09,505,1.92,4.52,28859.77,12.64,18.27,
MKTCAMP_1071,Sales Conversion_Latin America_71,TikTok,Sales Conversion,Awareness,Fitness Enthusiasts,Latin America,Mobile,Search Ad,2025-03-26,9669.63,1031900,72064,6.98,0.13,12306,17.08,0.79,4251973.31,439.72,14.23,
MKTCAMP_1072,App Install_North America_72,X,App Install,Awareness,Parents with Kids,North America,Mobile,Carousel,2025-04-14,9718.36,534802,35804,6.69,0.27,3677,10.27,2.64,609466.58,62.71,16.88,
MKTCAMP_1073,Lead Generation_North America_73,Meta,Lead Generation,Engagement,Young Professionals 25-34,North America,Mobile,Search Ad,2025-04-19,3224.34,414883,2041,0.49,1.58,177,8.7,18.22,8499.02,2.64,3.26,
MKTCAMP_1074,Product Launch_Latin America_74,Google Ads,Product Launch,Conversions,Luxury Buyers,Latin America,Tablet,Story,2025-03-05,3379.39,530083,34153,6.44,0.1,3657,10.71,0.92,1235682.8,365.65,7.69,
MKTCAMP_1075,Lead Generation_Latin America_75,TikTok,Lead Generation,Traffic,Fitness Enthusiasts,Latin America,Tablet,Video,2025-04-10,7499.95,1472599,32561,2.21,0.23,5651,17.36,1.33,191509.18,25.53,17.98,18.45
MKTCAMP_1076,Lead Generation_Latin America_76,TikTok,Lead Generation,Engagement,Fitness Enthusiasts,Latin America,Tablet,Video,2025-03-13,22333.01,3014648,254527,8.44,0.09,4559,1.79,4.9,944776.94,42.3,17.97,56.85
MKTCAMP_1077,Brand Awareness_Europe_77,Meta,Brand Awareness,Leads,Students 18-24,Europe,Desktop,Search Ad,2025-03-18,15920.27,2630582,107374,4.08,0.15,12328,11.48,1.29,2674936.59,168.02,16.79,
MKTCAMP_1078,Product Launch_Latin America_78,LinkedIn,Product Launch,Engagement,Healthcare Professionals,Latin America,Tablet,Search Ad,2025-02-27,1613.44,146134,11834,8.1,0.14,1902,16.08,0.85,334390.93,207.25,11.93,
MKTCAMP_1079,Sales Conversion_Middle East_79,Meta,Sales Conversion,Conversions,Students 18-24,Middle East,Desktop,Image,2025-04-09,7295.84,538883,22395,4.16,0.33,1496,6.68,4.88,324287.85,44.45,2.54,
MKTCAMP_1080,Product Launch_India_80,YouTube,Product Launch,Traffic,Gamers,India,Desktop,Image,2025-01-31,24372.67,5301492,321011,6.06,0.08,31721,9.88,0.77,4093558.17,167.96,15.28,
MKTCAMP_1081,Retargeting_APAC_81,LinkedIn,Retargeting,Conversions,Parents with Kids,APAC,Mobile,Carousel,2025-01-30,17275.91,1196720,93086,7.78,0.19,13864,14.89,1.25,4629688.32,267.99,13.75,
MKTCAMP_1082,Sales Conversion_Latin America_82,TikTok,Sales Conversion,Traffic,Fitness Enthusiasts,Latin America,Mobile,Story,2025-02-22,15528.67,1790203,142412,7.96,0.11,22296,15.66,0.7,991502.55,63.85,1.66,
MKTCAMP_1083,App Install_Middle East_83,LinkedIn,App Install,Conversions,Students 18-24,Middle East,Mobile,Story,2025-02-19,9723.35,1807566,151780,8.4,0.06,4754,3.13,2.05,1046459.17,107.62,7.79,
MKTCAMP_1084,Sales Conversion_APAC_84,YouTube,Sales Conversion,Engagement,Young Professionals 25-34,APAC,Desktop,Video,2025-05-01,24262.9,4648320,334235,7.19,0.07,29085,8.7,0.83,4733358.07,195.09,5.93,19.51
MKTCAMP_1085,Retargeting_Middle East_85,LinkedIn,Retargeting,Leads,Luxury Buyers,Middle East,Tablet,Search Ad,2025-04-25,21685.7,4040526,343352,8.5,0.06,61601,17.94,0.35,12796877.52,590.11,14.5,
MKTCAMP_1086,Product Launch_India_86,Meta,Product Launch,Engagement,Gamers,India,Desktop,Video,2025-02-19,23646.76,4562323,109656,2.4,0.22,9194,8.38,2.57,655817.33,27.73,17.71,63.49
MKTCAMP_1087,Sales Conversion_Latin America_87,LinkedIn,Sales Conversion,Engagement,Luxury Buyers,Latin America,Mobile,Carousel,2025-03-21,6101.75,981808,53084,5.41,0.11,3592,6.77,1.7,238287.64,39.05,12.82,
MKTCAMP_1088,Brand Awareness_APAC_88,YouTube,Brand Awareness,Traffic,Luxury Buyers,APAC,Tablet,Video,2025-03-24,13247.54,2371538,109406,4.61,0.12,16862,15.41,0.79,3483861.0,262.98,10.9,85.13
MKTCAMP_1089,Lead Generation_Europe_89,TikTok,Lead Generation,Awareness,Students 18-24,Europe,Mobile,Story,2025-02-11,10385.33,665935,4216,0.63,2.46,578,13.71,17.97,132072.45,12.72,13.38,
MKTCAMP_1090,Product Launch_India_90,Meta,Product Launch,Awareness,Parents with Kids,India,Desktop,Story,2025-02-02,5717.62,369054,1911,0.52,2.99,126,6.64,45.38,27565.48,4.82,7.99,
MKTCAMP_1091,Product Launch_Latin America_91,Google Ads,Product Launch,Traffic,Young Professionals 25-34,Latin America,Tablet,Image,2025-01-29,11218.14,2274461,73257,3.22,0.15,6955,9.49,1.61,1952748.15,174.07,8.06,
MKTCAMP_1092,Brand Awareness_North America_92,X,Brand Awareness,Conversions,Young Professionals 25-34,North America,Mobile,Video,2025-03-21,15741.12,3073067,248645,8.09,0.06,7642,3.07,2.06,2495174.44,158.51,9.71,35.66
MKTCAMP_1093,Lead Generation_Middle East_93,Meta,Lead Generation,Traffic,Fitness Enthusiasts,Middle East,Tablet,Search Ad,2025-01-28,11748.83,2542515,111621,4.39,0.11,6979,6.25,1.68,1623931.46,138.22,5.35,
MKTCAMP_1094,Sales Conversion_India_94,TikTok,Sales Conversion,Leads,Pet Owners,India,Mobile,Search Ad,2025-04-06,2358.65,149062,2142,1.44,1.1,67,3.16,35.2,4986.45,2.11,12.29,
MKTCAMP_1095,Brand Awareness_India_95,X,Brand Awareness,Leads,Fitness Enthusiasts,India,Mobile,Video,2025-04-29,4956.06,506609,38826,7.66,0.13,3414,8.79,1.45,831713.48,167.82,4.18,30.38
MKTCAMP_1096,App Install_Middle East_96,LinkedIn,App Install,Conversions,Luxury Buyers,Middle East,Tablet,Video,2025-03-17,1501.28,105702,2808,2.66,0.53,101,3.6,14.86,5896.87,3.93,3.29,51.86
MKTCAMP_1097,Sales Conversion_North America_97,X,Sales Conversion,Awareness,Gamers,North America,Tablet,Search Ad,2025-04-14,5555.18,586452,26259,4.48,0.21,3303,12.58,1.68,140641.36,25.32,15.03,
MKTCAMP_1098,App Install_India_98,Google Ads,App Install,Engagement,Young Professionals 25-34,India,Tablet,Image,2025-01-09,15883.56,869094,64973,7.48,0.24,10795,16.62,1.47,534837.7,33.67,5.99,
MKTCAMP_1099,Sales Conversion_North America_99,YouTube,Sales Conversion,Engagement,Parents with Kids,North America,Desktop,Video,2025-02-25,20251.93,3537743,67026,1.89,0.3,2790,4.16,7.26,414457.49,20.47,9.58,64.46
MKTCAMP_1100,Sales Conversion_Latin America_100,LinkedIn,Sales Conversion,Engagement,Students 18-24,Latin America,Mobile,Carousel,2025-04-04,9538.38,1175664,75883,6.45,0.13,866,1.14,11.01,95935.33,10.06,13.54,
MKTCAMP_1101,Sales Conversion_APAC_101,YouTube,Sales Conversion,Engagement,Pet Owners,APAC,Tablet,Story,2025-02-25,22432.57,2963386,139579,4.71,0.16,3315,2.38,6.77,574065.04,25.59,10.41,
MKTCAMP_1102,App Install_India_102,X,App Install,Traffic,Pet Owners,India,Mobile,Image,2025-04-23,6440.53,569753,19690,3.46,0.33,167,0.85,38.57,22221.91,3.45,4.86,
MKTCAMP_1103,Lead Generation_APAC_103,TikTok,Lead Generation,Engagement,Students 18-24,APAC,Tablet,Image,2025-01-04,8523.69,524694,39946,7.61,0.21,4349,10.89,1.96,1075563.12,126.19,14.85,
MKTCAMP_1104,Retargeting_Middle East_104,TikTok,Retargeting,Awareness,Fitness Enthusiasts,Middle East,Mobile,Image,2025-02-13,12711.83,707358,33603,4.75,0.38,3618,10.77,3.51,971580.01,76.43,8.67,
MKTCAMP_1105,App Install_APAC_105,LinkedIn,App Install,Leads,Pet Owners,APAC,Mobile,Carousel,2025-01-11,3625.72,330229,11032,3.34,0.33,1302,11.8,2.78,276869.07,76.36,7.36,
MKTCAMP_1106,Sales Conversion_Middle East_106,Meta,Sales Conversion,Conversions,Luxury Buyers,Middle East,Tablet,Story,2025-03-24,24669.62,3676747,85357,2.32,0.29,1947,2.28,12.67,153647.36,6.23,5.46,
MKTCAMP_1107,Product Launch_North America_107,X,Product Launch,Awareness,Students 18-24,North America,Mobile,Carousel,2025-02-21,4436.69,326460,8844,2.71,0.5,312,3.53,14.22,98893.06,22.29,2.59,
MKTCAMP_1108,Lead Generation_Latin America_108,X,Lead Generation,Awareness,Pet Owners,Latin America,Tablet,Story,2025-03-12,13350.53,1520243,127050,8.36,0.11,3126,2.46,4.27,491762.91,36.83,17.97,
MKTCAMP_1109,Retargeting_Latin America_109,YouTube,Retargeting,Awareness,Luxury Buyers,Latin America,Tablet,Image,2025-03-31,21704.92,4060403,101063,2.49,0.21,3527,3.49,6.15,860467.48,39.64,17.28,
MKTCAMP_1110,Retargeting_India_110,TikTok,Retargeting,Traffic,Pet Owners,India,Mobile,Carousel,2025-02-10,14140.69,2020567,53905,2.67,0.26,7528,13.97,1.88,676420.91,47.84,6.8,
MKTCAMP_1111,Sales Conversion_Latin America_111,Google Ads,Sales Conversion,Conversions,Tech Decision Makers,Latin America,Mobile,Carousel,2025-04-05,10923.19,1434978,33915,2.36,0.32,851,2.51,12.84,191814.05,17.56,6.19,
MKTCAMP_1112,Retargeting_APAC_112,TikTok,Retargeting,Awareness,Healthcare Professionals,APAC,Tablet,Video,2025-04-17,14740.34,999178,42937,4.3,0.34,4216,9.82,3.5,196396.17,13.32,7.02,25.75
MKTCAMP_1113,Retargeting_India_113,Meta,Retargeting,Awareness,Gamers,India,Mobile,Video,2025-04-01,2052.69,447882,13486,3.01,0.15,1978,14.67,1.04,220517.35,107.43,12.99,75.82
MKTCAMP_1114,Lead Generation_North America_114,YouTube,Lead Generation,Leads,Pet Owners,North America,Mobile,Image,2025-03-31,15093.15,1884888,70417,3.74,0.21,4651,6.61,3.25,1522966.82,100.9,15.57,
MKTCAMP_1115,Sales Conversion_North America_115,Meta,Sales Conversion,Leads,Students 18-24,North America,Mobile,Image,2025-03-02,24143.16,1505893,95172,6.32,0.25,16104,16.92,1.5,1417064.74,58.69,2.35,
MKTCAMP_1116,Product Launch_Europe_116,TikTok,Product Launch,Awareness,Parents with Kids,Europe,Mobile,Story,2025-01-15,18657.46,2675576,193144,7.22,0.1,5690,2.95,3.28,1618722.72,86.76,4.69,
MKTCAMP_1117,Product Launch_North America_117,Google Ads,Product Launch,Traffic,Students 18-24,North America,Tablet,Carousel,2025-01-20,4509.57,313721,21954,7.0,0.21,2665,12.14,1.69,526020.19,116.65,7.41,
MKTCAMP_1118,Retargeting_Europe_118,YouTube,Retargeting,Leads,Small Business Owners,Europe,Mobile,Story,2025-03-19,21991.41,2433132,170670,7.01,0.13,13969,8.18,1.57,2104041.76,95.68,9.2,
MKTCAMP_1119,App Install_APAC_119,YouTube,App Install,Engagement,Gamers,APAC,Desktop,Story,2025-02-08,7883.76,1376265,61547,4.47,0.13,2808,4.56,2.81,892561.73,113.22,7.84,
